chapter	edited	apparatus_entries	file
SS.1.1	yes	245	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.2	yes	84	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.3	no	235	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.4	no	63	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.5	no	197	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.6	no	227	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.7	no	139	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.8	no	124	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.9	no	41	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.10	no	85	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.11	no	196	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.12	no	228	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.13	yes	180	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.14	yes	259	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.15	no	279	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.16	yes	212	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.17	no	214	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.18	no	199	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.19	no	143	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.20	no	141	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.21	no	320	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.22	no	152	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.23	no	181	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.24	no	169	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.25	no	227	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.26	no	180	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.27	no	157	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.28	no	69	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.29	no	318	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.30	no	90	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.31	no	125	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.5.1	yes	270	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.2	yes	230	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.3	yes	230	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.4	yes	330	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.5	yes	327	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.6	yes	90	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.7	yes	236	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.8	yes	555	05-su.ka/provisional-edition_kalpasthana.xml
