rule_id	category	from	to	count	n_chapters	n_contexts	reverse_count	witnesses	examples	status	comment
R0001	avagraha		'	32	8	15	1	H K N	SS.1.1.21 K «smi gāṃ» -> «'smi gāṃ» ‖ SS.1.16.10 N «py» -> «'py» ‖ SS.1.16.15 H «nyatamasya» -> «'nyatamasya»	proposed	
R0002	avagraha	'		1	1	1	32	N	SS.1.2.9 N «śuklādaye'» -> «śuklādaye»	proposed	
R0003	ba-va	v	b	73	9	35	0	H K N	SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.13.8 H «avasecayet | ācūṣaṇād antarddīptenālāvunā |» -> «avasecayet | ācūṣaṇād antarddīptenālābunā» ‖ SS.1.16.10 N «vandhyā» -> «bandhyā»	proposed	
R0004	ba-va		b	1	1	1	1	K	SS.1.14.38 K «īṣad amlair» -> «īṣadamblair»	proposed	
R0005	ba-va	 v	b	1	1	1	0	K	SS.5.8.106 K «sthirā kampilyapāmārga dūrvā vrāhmyau» -> «sthirākampilyāpāmārgadūrvābrāhmyau»	proposed	
R0006	ba-va	b		1	1	1	1	K	SS.5.5.53 K «taila madya kulatthāmbla varjair» -> «tailamadyakulatthāmlavarjair»	proposed	
R0007	degemination	v		49	10	24	0	H N	SS.1.1.4 H «vvyādhibhir» -> «vyādhibhir» ‖ SS.1.1.4 H «vvividhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośataś» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.1.1.4b H «āyurvvedam» -> «āyurvedaṃ»	proposed	
R0008	degemination	d		23	7	20	0	H	SS.1.13.20 H «ārddraplotāvacchannaṅ» -> «ārdraplotāvacchannāṅ» ‖ SS.1.14.3 H «anupraviśyorddhvagā» -> «anupraviśyordhvagā» ‖ SS.1.14.3 H «varddhayati» -> «vardhayati»	proposed	
R0009	degemination	p		14	7	7	0	H	SS.1.1.30 H «khagasarīsṛpasarppās» -> «khagasarīsṛpasarpās» ‖ SS.5.1.80 H «abhuktavān | sarppiḥ» -> «abhuktavān | sarpiḥ» ‖ SS.5.3.5.10 H «sarppa kaṇṭaka varaki matsyāsthi» -> «sarpakaṇṭakavarakimatsyāsthi»	proposed	
R0010	degemination	t		11	6	9	0	H K	SS.5.1.50 H «karttavyaṃ» -> «kartavyaṃ» ‖ SS.5.2.15 H «prakīrttitau» -> «prakīrtitau» ‖ SS.5.2.24 H «marttyaṃ» -> «martyaṃ»	proposed	
