chapter	edited	apparatus_entries	file
SS.1.1	yes	245	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.2	yes	84	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.3	no	235	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.4	no	63	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.5	no	197	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.6	no	454	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.7	no	139	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.8	no	124	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.9	no	41	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.10	no	85	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.11	no	196	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.12	no	228	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.13	yes	180	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.14	yes	259	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.15	no	279	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.16	yes	212	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.17	no	214	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.18	no	199	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.19	no	143	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.20	no	141	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.21	no	320	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.22	no	152	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.23	no	181	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.24	no	169	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.25	no	227	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.26	no	180	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.27	no	157	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.28	no	69	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.29	no	318	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.30	no	90	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.31	no	125	01-su.su-1-31/provisional-edition_sutrasthana-1-31.xml
SS.1.32	no	99	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.33	no	122	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.34	no	98	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.35	no	379	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.36	no	82	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.37	no	140	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.38	no	209	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.39	no	125	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.40	no	227	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.41	no	144	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.42	no	227	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.43	no	109	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.44	no	313	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.45	no	715	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.1.46	no	2132	01-su.su-32-end/provisional-edition_sutrasthana-32-end.xml
SS.2.1	yes	340	02-su.ni/provisional-edition_nidanasthana.xml
