chapter	verse	witness	kind	category	from	to	left_ctx	right_ctx	witness_text	edition_text
SS.1.1	SS.1.1.3	H	grouped-minor	nasal-anusvara	ṃ	m	sa		divodāsaṃ	divodāsam
SS.1.1	SS.1.1.3	H	grouped-minor	visarga	r	ḥ	cu		ūcur	ūcuḥ
SS.1.1	SS.1.1.4	K	editorial-surface	other	cch	ñ ś	va	ār	bhagavacchārīramānasāgantu bhi	bhagavañ śārīramānasāgantubhir
SS.1.1	SS.1.1.4	K	editorial-surface	punctuation	 		tu	bh	bhagavacchārīramānasāgantu bhi	bhagavañ śārīramānasāgantubhir
SS.1.1	SS.1.1.4	K	editorial-surface	insertion		r	hi		bhagavacchārīramānasāgantu bhi	bhagavañ śārīramānasāgantubhir
SS.1.1	SS.1.1.4	N	editorial-surface	other	cha	śā	ñ 	rī	bhagavañ charīramānasāgantubhir	bhagavañ śārīramānasāgantubhir
SS.1.1	SS.1.1.4	H	editorial-surface	other	c	ñ	va	 c	bhagavac chārīramānasāgantubhir	bhagavañ śārīramānasāgantubhir
SS.1.1	SS.1.1.4	H	editorial-surface	other	ch	ś	c 	ār	bhagavac chārīramānasāgantubhir	bhagavañ śārīramānasāgantubhir
SS.1.1	SS.1.1.4	H	grouped-minor	degemination	v			vy	vvyādhibhir	vyādhibhir
SS.1.1	SS.1.1.4	K	editorial-surface	other		vi		vi	vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata	vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś
SS.1.1	SS.1.1.4	K	editorial-surface	nasal-anusvara	ṃ	n	tā	 s	vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata	vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś
SS.1.1	SS.1.1.4	K	editorial-surface	sibilant		ś	ta		vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata	vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś
SS.1.1	SS.1.1.4	N	editorial-surface	deletion	ā		n 	sa	vividhavedanābhighātopadrutān āsanāthān anāthavad viceṣṭamānān vikrośataś	vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś
SS.1.1	SS.1.1.4	H	editorial-surface	degemination	v			vi	vvividhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośataś	vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś
SS.1.1	SS.1.1.4	H	editorial-surface	nasal-anusvara	ṃ	n	tā	 s	vvividhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośataś	vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś
SS.1.1	SS.1.1.4b	H	grouped-minor	degemination	v		rv	ed	āyurvvedam	āyurvedaṃ
